TimeStamp,h,interest
2020-01-22T01,1,9
2020-01-22T02,2,8
2020-01-22T03,3,7
2020-01-22T04,4,7
2020-01-22T05,5,8
2020-01-22T06,6,10
2020-01-22T07,7,10
2020-01-22T08,8,9
2020-01-22T09,9,7
2020-01-22T10,10,8
2020-01-22T11,11,8
2020-01-22T12,12,9
2020-01-22T13,13,8
2020-01-22T14,14,8
2020-01-22T15,15,14
2020-01-22T16,16,10
2020-01-22T17,17,11
2020-01-22T18,18,12
2020-01-22T19,19,12
2020-01-22T20,20,12
2020-01-22T21,21,14
2020-01-22T22,22,14
2020-01-22T23,23,15
2020-01-23T00,24,12
2020-01-23T01,25,13
2020-01-23T02,26,13
2020-01-23T03,27,12
2020-01-23T04,28,10
2020-01-23T05,29,12
2020-01-23T06,30,15
2020-01-23T07,31,16
2020-01-23T08,32,16
2020-01-23T09,33,15
2020-01-23T10,34,14
2020-01-23T11,35,14
2020-01-23T12,36,15
2020-01-23T13,37,14
2020-01-23T14,38,13
2020-01-23T15,39,12
2020-01-23T16,40,12
2020-01-23T17,41,14
2020-01-23T18,42,15
2020-01-23T19,43,15
2020-01-23T20,44,17
2020-01-23T21,45,20
2020-01-23T22,46,21
2020-01-23T23,47,21
2020-01-24T00,48,22
2020-01-24T01,49,21
2020-01-24T02,50,21
2020-01-24T03,51,20
2020-01-24T04,52,16
2020-01-24T05,53,16
2020-01-24T06,54,16
2020-01-24T07,55,17
2020-01-24T08,56,17
2020-01-24T09,57,18
2020-01-24T10,58,17
2020-01-24T11,59,19
2020-01-24T12,60,17
2020-01-24T13,61,17
2020-01-24T14,62,18
2020-01-24T15,63,19
2020-01-24T16,64,19
2020-01-24T17,65,20
2020-01-24T18,66,22
2020-01-24T19,67,21
2020-01-24T20,68,23
2020-01-24T21,69,24
2020-01-24T22,70,24
2020-01-24T23,71,29
2020-01-25T00,72,28
2020-01-25T01,73,28
2020-01-25T02,74,25
2020-01-25T03,75,25
2020-01-25T04,76,24
2020-01-25T05,77,21
2020-01-25T06,78,24
2020-01-25T07,79,21
2020-01-25T08,80,26
2020-01-25T09,81,25
2020-01-25T10,82,23
2020-01-25T11,83,22
2020-01-25T12,84,22
2020-01-25T13,85,20
2020-01-25T14,86,20
2020-01-25T15,87,19
2020-01-25T16,88,20
2020-01-25T17,89,39
2020-01-25T18,90,100
2020-01-25T19,91,67
2020-01-25T20,92,58
2020-01-25T21,93,55
2020-01-25T22,94,57
2020-01-25T23,95,56
2020-01-26T00,96,54
2020-01-26T01,97,53
2020-01-26T02,98,48
2020-01-26T03,99,45
2020-01-26T04,100,36
2020-01-26T05,101,33
2020-01-26T06,102,39
2020-01-26T07,103,46
2020-01-26T08,104,46
2020-01-26T09,105,45
2020-01-26T10,106,45
2020-01-26T11,107,43
2020-01-26T12,108,39
2020-01-26T13,109,37
2020-01-26T14,110,30
2020-01-26T15,111,26
2020-01-26T16,112,27
2020-01-26T17,113,28
2020-01-26T18,114,31
2020-01-26T19,115,31
2020-01-26T20,116,31
2020-01-26T21,117,35
2020-01-26T22,118,38
2020-01-26T23,119,40
2020-01-27T00,120,42
2020-01-27T01,121,46
2020-01-27T02,122,44
2020-01-27T03,123,35
2020-01-27T04,124,32
2020-01-27T05,125,28
2020-01-27T06,126,38
2020-01-27T07,127,52
2020-01-27T08,128,52
2020-01-27T09,129,46
2020-01-27T10,130,42
2020-01-27T11,131,39
2020-01-27T12,132,41
2020-01-27T13,133,36
2020-01-27T14,134,35
2020-01-27T15,135,37
2020-01-27T16,136,40
2020-01-27T17,137,47
2020-01-27T18,138,47
2020-01-27T19,139,43
2020-01-27T20,140,45
2020-01-27T21,141,48
2020-01-27T22,142,55
2020-01-27T23,143,53
2020-01-28T00,144,54
